product_id,product_name,category,sugar_intake
956000000000000000,Yeo's Minuman Jeli Sarang Burung Kaleng 300 ml,Minuman Kesehatan,25
900000000000000000,Fibe Mini Botol 100 ml,Minuman Kesehatan,9
900000000000000000,Buavita Minuman Sari Buah Jambu 245 mL,Jus & Sari Buah,23
899000000000000000,ITO EN Oi Ocha Minuman Teh Hijau Tanpa Gula Hojicha Botol 500 ml,Teh & Kopi Siap Minum,0
900000000000000000,SUNQUICK Jus Sari Buah Lemon 330 ml,Jus & Sari Buah,40
900000000000000000,Sunquick Jus Sari Buah Jeruk 300 ml,Jus & Sari Buah,36
900000000000000000,Buavita Jus Buah Asli Leci 245 ml,Jus & Sari Buah,27
900000000000000000,Buavita Jus Buah Asli Mangga 245 ml,Jus & Sari Buah,23
900000000000000000,Buavita Jus Buah Asli Apel 250 ml,Jus & Sari Buah,23
900000000000000000,Buavita Jus Jeruk 245 ml,Jus & Sari Buah,23
899000000000000000,Alfamart Air Mineral Botol 1.5 L,Air Mineral,0
71200000000000000,ABC Minuman Sari Kacang Hijau 250 ml,Jus & Sari Buah,5
899000000000000000,Alfamart Air Mineral Disney Pet Botol 330 ml,Air Mineral,0
899000000000000000,Alfamart Air Mineral Disney Flip Top 450 ml,Air Mineral,0
899000000000000000,Alfamart Air Mineral Botol 600 ml,Air Mineral,0
900000000000000000,Ultra Sari Asem Asli 250 ml,Jus & Sari Buah,29
75000000000000000,Tropicana Slim Collagen Shot Minuman Tinggi Serat Peach Blossom 190 ml,Minuman Kesehatan,6
75000000000000000,Lokalate Minuman Kopi Rasa Popcorn Latte 185 ml,Teh & Kopi Siap Minum,20
79300000000000000,100PLUS Active Minuman Isotonik Botol 350 ml,Minuman Kesehatan,19
900000000000000000,Ultra Teh Kotak Melati Rendah Gula 750 ml,Teh & Kopi Siap Minum,17
900000000000000000,Ultra Teh Kotak Melati 1000 ml,Teh & Kopi Siap Minum,80
89900000000000000,Panjang Jiwo Larutan Penyegar Melon Botol 350 ml,Minuman Kesehatan,8
900000000000000000,Ultra Teh Kotak Mangga 300 ml,Teh & Kopi Siap Minum,20
900000000000000000,Toza Jus Buah Jambu 1 L,Jus & Sari Buah,9
89900000000000000,Nescafe Minuman Kopi Susu Rasa Coconut Latte Can 220 ml,Teh & Kopi Siap Minum,14
9000000000000000,Le Minerale Air Mineral Botol 600 ml,Air Mineral,0
9000000000000000,Le Minerale Air Mineral Botol 1.5 L,Air Mineral,0
900000000000000000,Tehbotol Sosro Minuman Teh Original 300 ml,Teh & Kopi Siap Minum,22
9000000000000000,Le Minerale Air Mineral Botol 330 ml,Air Mineral,0
889000000000000000,Aqua Air Mineral Botol 600 ml,Air Mineral,0
9000000000000000,Teh Pucuk Harum Melati 350 ml,Teh & Kopi Siap Minum,18
900000000000000000,Ultra Teh Kotak Melati 300 ml,Teh & Kopi Siap Minum,17
900000000000000000,pristine 8.6+ Air Mineral Botol 400 ml,Air Mineral,0
889000000000000000,Aqua Air Mineral Botol 1.5 L,Air Mineral,0
899000000000000000,Yakult Minuman Probiotik 5 pcs,Minuman Kesehatan,10
89900000000000000,Crystalin Air Mineral Pet Botol 1.5 L,Air Mineral,0
900000000000000000,Bintang Zero Minuman Berkarbonasi 330 ml,Minuman Karbonasi,15
889000000000000000,Aqua Air Mineral Botol 330 ml,Air Mineral,0
900000000000000000,You C1000 Minuman Jeruk Vitamin C 140 ml,Minuman Kesehatan,16
899000000000000000,Nestle Pure Life Air Mineral Botol 1.5 L,Air Mineral,0
9000000000000000,Nipis Madu Minuman Soda Lime 330 ml,Minuman Karbonasi,22
89900000000000000,Teh Gelas Original 350 ml,Teh & Kopi Siap Minum,40
89900000000000000,Crystalin Air Mineral Botol 600 ml,Air Mineral,0
899000000000000000,Nestle Pure Life Air Mineral Botol 600 ml,Air Mineral,0
900000000000000000,Golda Minuman Kopi Cappucino Pet 200 ml,Teh & Kopi Siap Minum,19
899000000000000000,Sprite Original Minuman Soda Rasa Lemon Jeruk Nipis Botol 390 ml,Minuman Karbonasi,25
900000000000000000,Cap Kaki Tiga Larutan Penyegar 500 ml,Minuman Kesehatan,40
900000000000000000,Tehbotol Sosro Minuman Teh Original 350 ml,Teh & Kopi Siap Minum,18
900000000000000000,You C1000 Minuman Isotonik Air Jeruk 500 ml,Minuman Kesehatan,20
899000000000000000,Vit Air Mineral Botol 1.5 L,Air Mineral,0
900000000000000000,Golda Minuman Kopi Dolce Latte Pet 200 ml,Teh & Kopi Siap Minum,15
900000000000000000,Isoplus Minuman Isotonik Coco 350 ml,Minuman Kesehatan,20
900000000000000000,You C1000 Minuman Vitamin C Lemon 140 ml,Minuman Kesehatan,16
899000000000000000,Coca-Cola Original Minuman Soda Rasa Kola Botol 390 ml,Minuman Karbonasi,39
900000000000000000,S-tee Minuman Teh Melati 390 ml,Teh & Kopi Siap Minum,26
9000000000000000,Teh Pucuk Harum Rendah Gula 350 ml,Teh & Kopi Siap Minum,5
899000000000000000,Fanta Minuman Soda Rasa Stroberi Botol 390 ml,Minuman Karbonasi,11
900000000000000000,Sinde Larutan Penyegar Cap BADAK 500 ml,Minuman Kesehatan,40
89900000000000000,Kiranti Sehat Datang Bulan 150 ml,Minuman Kesehatan,2
