product_id,product_name,category,sugar_intake
9556156046108,Yeo's Minuman Jeli Sarang Burung Kaleng 300 ml,Minuman Kesehatan,25
8997035601482,Fibe Mini Botol 100 ml,Minuman Kesehatan,9
8998009020186,Buavita Minuman Sari Buah Jambu 245 mL,Jus & Sari Buah,23
8994947000273,ITO EN Oi Ocha Minuman Teh Hijau Tanpa Gula Hojicha Botol 500 ml,Teh Siap Minum,0
8998888150455,SUNQUICK Jus Sari Buah Lemon 330 ml,Jus & Sari Buah,40
8998888150950,Sunquick Jus Sari Buah Jeruk 300 ml,Jus & Sari Buah,36
8998009020216,Buavita Jus Buah Asli Leci 245 ml,Jus & Sari Buah,27
8998009020193,Buavita Jus Buah Asli Mangga 245 ml,Jus & Sari Buah,23
8998009020223,Buavita Jus Buah Asli Apel 250 ml,Jus & Sari Buah,23
8998009020179,Buavita Jus Jeruk 245 ml,Jus & Sari Buah,23
8994016000425,Alfamart Air Mineral Botol 1.5 L,Air Mineral,0
711844162419,ABC Minuman Sari Kacang Hijau 250 ml,Jus & Sari Buah,5
8994016011506,Alfamart Air Mineral Disney Pet Botol 330 ml,Air Mineral,0
8994016013265,Alfamart Air Mineral Disney Flip Top 450 ml,Air Mineral,0
8994016013227,Alfamart Air Mineral Botol 600 ml,Air Mineral,0
8998009030031,Ultra Sari Asem Asli 250 ml,Jus & Sari Buah,29
749921021106,Tropicana Slim Collagen Shot Minuman Tinggi Serat Peach Blossom 190 ml,Minuman Kesehatan,6
749921011671,Lokalate Minuman Kopi Rasa Popcorn Latte 185 ml,Kopi Siap Minum,20
792649436547,100PLUS Active Minuman Isotonik Botol 350 ml,Minuman Kesehatan,19
8998009040412,Ultra Teh Kotak Melati Rendah Gula 750 ml,Teh Siap Minum,17
8998009040405,Ultra Teh Kotak Melati 1000 ml,Teh Siap Minum,80
8991102028158,Panjang Jiwo Larutan Penyegar Melon Botol 350 ml,Minuman Kesehatan,8
8998009040368,Ultra Teh Kotak Mangga 300 ml,Teh Siap Minum,20
8997222540167,Toza Jus Buah Jambu 1 L,Jus & Sari Buah,8.9
8992696527447,Nescafe Minuman Kopi Susu Rasa Coconut Latte Can 220 ml,Kopi Siap Minum,14
8996001600269,Le Minerale Air Mineral Botol 600 ml,Air Mineral,0
8996001600399,Le Minerale Air Mineral Botol 1.5 L,Air Mineral,0
8996006856869,Tehbotol Sosro Minuman Teh Original 300 ml,Teh Siap Minum,22
8996001600375,Le Minerale Air Mineral Botol 330 ml,Air Mineral,0
8886008101053,Aqua Air Mineral Botol 600 ml,Air Mineral,0
8996001600146,Teh Pucuk Harum Melati 350 ml,Teh Siap Minum,18
8998009040023,Ultra Teh Kotak Melati 300 ml,Teh Siap Minum,17
8999510785540,pristine 8.6+ Air Mineral Botol 400 ml,Air Mineral,0
8886008101091,Aqua Air Mineral Botol 1.5 L,Air Mineral,0
8992994110112,Yakult Minuman Probiotik 5 pcs,Minuman Kesehatan,10
8991102026383,Crystalin Air Mineral Pet Botol 1.5 L,Air Mineral,0
8997225200235,Bintang Zero Minuman Berkarbonasi 330 ml,Minuman Karbonasi,15
8886008101336,Aqua Air Mineral Botol 330 ml,Air Mineral,0
8997009510055,You C1000 Minuman Jeruk Vitamin C 140 ml,Minuman Kesehatan,16
8992982201501,Nestle Pure Life Air Mineral Botol 1.5 L,Air Mineral,0
8996001600849,Nipis Madu Minuman Soda Lime 330 ml,Minuman Karbonasi,22
8991102228053,Teh Gelas Original 350 ml,Teh Siap Minum,40
8991102026352,Crystalin Air Mineral Botol 600 ml,Air Mineral,0
8992982206001,Nestle Pure Life Air Mineral Botol 600 ml,Air Mineral,0
8998866202893,Golda Minuman Kopi Cappucino Pet 200 ml,Kopi Siap Minum,19
8992761002022,Sprite Original Minuman Soda Rasa Lemon Jeruk Nipis Botol 390 ml,Minuman Karbonasi,25
8995227500261,Cap Kaki Tiga Larutan Penyegar 500 ml,Minuman Kesehatan,40
8996006858016,Tehbotol Sosro Minuman Teh Original 350 ml,Teh Siap Minum,18
8997009510123,You C1000 Minuman Isotonik Air Jeruk 500 ml,Minuman Kesehatan,20
8992752011057,Vit Air Mineral Botol 1.5 L,Air Mineral,0
8998866201841,Golda Minuman Kopi Dolce Latte Pet 200 ml,Kopi Siap Minum,15
8998866203531,Isoplus Minuman Isotonik Coco 350 ml,Minuman Kesehatan,20
8997009510017,You C1000 Minuman Vitamin C Lemon 140 ml,Minuman Kesehatan,16
8992761002015,Coca-Cola Original Minuman Soda Rasa Kola Botol 390 ml,Minuman Karbonasi,39
